Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-08-13 00:14:01,2024-08-13 21:56:58,UTC+02:00,2024-08-13 14:14:14,2024-08-13 16:06:47,112,Hiking,10.1,551.0,142,111,28,60,6,0,0,false,,,
2024-08-11 22:40:42,2024-08-13 00:14:01,UTC+02:00,2024-08-12 10:32:03,2024-08-12 13:31:48,179,Hiking,8.5,456.0,135,98,63,15,0,0,0,false,,,
2024-08-10 21:37:58,2024-08-11 22:40:42,UTC+02:00,2024-08-11 13:39:12,2024-08-11 14:55:32,76,Hiking,6.5,221.0,161,98,34,19,5,1,0,false,,,
2024-08-10 21:37:58,2024-08-11 22:40:42,UTC+02:00,2024-08-11 07:42:33,2024-08-11 09:07:08,84,Running,16.4,1013.0,174,146,0,9,26,63,2,false,,,
2024-08-10 03:26:06,2024-08-10 21:37:58,UTC+02:00,2024-08-10 19:16:47,2024-08-10 20:28:23,71,Hiking,10.7,373.0,175,109,34,12,12,16,1,false,,,
2024-08-09 01:16:15,2024-08-10 03:26:06,UTC+02:00,2024-08-09 07:52:14,2024-08-09 09:27:36,95,Running,19.2,1394.0,187,159,0,0,4,76,20,false,,,
2024-08-08 05:19:16,2024-08-09 01:16:15,UTC+02:00,2024-08-08 14:12:49,2024-08-08 15:02:40,49,Weightlifting,4.7,92.0,140,92,47,9,1,0,0,false,,,
2024-08-05 23:34:20,2024-08-06 23:21:52,UTC-05:00,2024-08-06 16:06:13,2024-08-06 16:08:52,2,Running,4.5,27.0,151,137,3,16,58,23,0,false,,,
2024-08-05 23:34:20,2024-08-06 23:21:52,UTC-05:00,2024-08-06 15:50:38,2024-08-06 16:04:52,14,Swimming,9.4,187.0,172,151,1,3,12,74,9,false,,,
2024-08-05 23:34:20,2024-08-06 23:21:52,UTC-05:00,2024-08-06 08:24:13,2024-08-06 09:20:36,56,Weightlifting,5.0,107.0,136,93,60,7,0,0,0,false,,,
2024-08-04 23:26:29,2024-08-05 23:34:20,UTC-05:00,2024-08-05 16:55:00,2024-08-05 17:41:39,46,Running,14.8,621.0,172,152,0,8,10,71,11,false,,,
2024-08-04 23:26:29,2024-08-05 23:34:20,UTC-05:00,2024-08-05 09:55:00,2024-08-05 10:41:39,46,Running,3.8,56.0,109,75,7,0,0,0,0,false,,,
2024-08-03 23:10:47,2024-08-04 23:26:29,UTC-05:00,2024-08-04 08:37:24,2024-08-04 10:01:17,83,Running,18.2,1159.0,174,155,0,7,11,57,25,false,,,
2024-08-02 22:41:45,2024-08-03 23:10:47,UTC-05:00,2024-08-03 07:33:47,2024-08-03 08:31:07,57,Weightlifting,6.4,210.0,138,103,46,40,1,0,0,false,,,
2024-08-01 16:15:36,2024-08-02 22:41:45,UTC-05:00,2024-08-02 07:34:01,2024-08-02 08:34:40,60,Running,0.0,69.0,93,76,0,0,0,0,0,false,,,
2024-08-01 16:15:36,2024-08-02 22:41:45,UTC-05:00,2024-08-02 00:34:01,2024-08-02 01:34:40,60,Running,16.1,806.0,189,152,1,3,13,63,20,false,,,
2024-07-31 23:43:29,2024-08-01 23:15:36,UTC+02:00,2024-08-01 14:07:45,2024-08-01 15:07:47,60,Cycling,0.0,68.0,90,68,0,0,0,0,0,false,,,
2024-07-31 23:43:29,2024-08-01 23:15:36,UTC+02:00,2024-08-01 07:07:45,2024-08-01 08:07:47,60,Cycling,14.1,676.0,163,142,1,12,35,51,0,false,,,
2024-07-30 23:11:57,2024-07-31 22:43:29,UTC+01:00,2024-07-31 12:15:12,2024-07-31 13:31:29,76,Running,4.1,94.0,121,68,7,0,0,0,0,false,,,
2024-07-30 23:11:57,2024-07-31 22:43:29,UTC+01:00,2024-07-31 06:15:12,2024-07-31 07:31:29,76,Running,16.1,817.0,178,139,20,13,4,54,9,false,,,
2024-07-28 23:43:54,2024-07-29 23:37:31,UTC+02:00,2024-07-29 13:47:10,2024-07-29 14:41:22,54,Weightlifting,0.0,62.0,100,63,0,0,0,0,0,false,,,
2024-07-28 23:43:54,2024-07-29 23:37:31,UTC+02:00,2024-07-29 07:47:10,2024-07-29 08:41:22,54,Weightlifting,,,,,,,,,,false,,,
