date,training_load,totalDistanceMeters,floorsAscendedInMeters,sleepingSeconds,bodyBatteryMostRecentValue,averageStressLevel,restingHeartRate,maxHeartRate,intensityMinutes,activeKilocalories,totalSteps,floorsAscended,5K_prediction,10K_prediction,HalfMarathon_prediction,Marathon_prediction,sleep_score,CTL,ATL,TSB
2024-07-13,54.60310363769531,2575.0,12.404,29880.0,8.0,41.0,50.0,142.0,0.0,930.0,4685.0,4.06955,0:19,0:41,1:37,3:47,82.0,82.0,84.1,-2.1
2024-07-14,329.51580810546875,18933.0,310.896,28302.0,5.0,45.0,50.0,177.0,0.0,1859.0,22787.0,102.0,0:19,0:41,1:36,3:44,83.0,87.8,116.7,-28.9
2024-07-15,0.0,1202.0,4.722,25740.0,38.0,22.0,52.0,105.0,0.0,185.0,5281.0,1.54921,0:19,0:41,1:36,3:44,78.0,85.7,101.2,-15.5
2024-07-16,179.55581665039062,11250.0,101.261,24321.0,22.0,30.0,48.0,171.0,0.0,827.0,13294.0,33.22211,0:19,0:41,1:36,3:44,87.0,87.9,111.6,-23.7
2024-07-17,6.5673675537109375,1375.0,6.266,22080.0,24.0,25.0,50.0,115.0,0.0,377.0,6025.0,2.05577,0:19,0:41,1:36,3:45,77.0,86.0,97.6,-11.6
2024-07-18,0.0,28731.0,6.096,24336.0,17.0,34.0,55.0,158.0,0.0,764.0,4895.0,2.0,0:19,0:41,1:36,3:45,71.0,84.0,84.6,-0.6
2024-07-19,213.38262939453125,12784.0,42.896,23534.0,7.0,31.0,49.0,168.0,0.0,1082.0,19990.0,14.07349,0:19,0:41,1:36,3:45,69.0,87.0,101.8,-14.7
2024-07-20,26.540786743164062,1725.0,20.423,31380.0,8.0,42.0,55.0,149.0,0.0,784.0,7580.0,6.70046,0:19,0:41,1:36,3:45,61.0,85.6,91.8,-6.1
2024-07-21,237.33795166015625,22365.0,544.614,31049.0,11.0,33.0,49.0,177.0,0.0,1865.0,27243.0,178.67913,0:19,0:41,1:36,3:45,84.0,89.2,111.1,-21.9
2024-07-22,0.0,1148.0,20.209,24041.0,41.0,20.0,49.0,103.0,0.0,148.0,5044.0,6.63025,0:19,0:41,1:37,3:45,81.0,87.1,96.3,-9.3
2024-07-23,211.1403350830078,12692.0,80.138,27461.0,22.0,31.0,48.0,175.0,0.0,1098.0,17379.0,26.29199,0:19,0:41,1:36,3:45,84.0,90.0,111.6,-21.6
2024-07-24,6.19677734375,1688.0,25.001,26400.0,59.0,20.0,48.0,118.0,0.0,509.0,7417.0,8.20243,0:19,0:41,1:37,3:46,84.0,88.0,97.6,-9.6
2024-07-25,192.8631591796875,12319.0,89.255,26677.0,33.0,27.0,46.0,170.0,0.0,1053.0,17236.0,29.28314,0:19,0:41,1:37,3:45,87.0,90.5,110.3,-19.8
2024-07-26,9.490158081054688,2070.0,27.432,21660.0,23.0,23.0,46.0,117.0,0.0,490.0,9097.0,9.0,0:19,0:41,1:37,3:46,79.0,88.6,96.9,-8.3
2024-07-27,90.65452575683594,10260.0,78.361,22920.0,5.0,52.0,52.0,156.0,0.0,1136.0,15891.0,25.70899,0:19,0:41,1:37,3:46,39.0,88.7,96.0,-7.4
2024-07-28,275.1715393066406,19180.0,348.406,29359.0,5.0,43.0,50.0,175.0,0.0,1556.0,19301.0,114.30643,0:19,0:41,1:36,3:45,84.0,93.0,119.9,-26.8
2024-07-29,11.3697509765625,1953.0,30.48,24540.0,41.0,21.0,50.0,125.0,0.0,586.0,8584.0,10.0,0:19,0:41,1:36,3:45,65.0,91.1,105.4,-14.3
2024-07-30,0.0,1207.0,27.434,24300.0,42.0,17.0,50.0,96.0,0.0,129.0,5265.0,9.00066,0:19,0:41,1:36,3:45,88.0,89.0,91.4,-2.4
2024-07-31,195.3507080078125,13721.0,55.731,20940.0,16.0,30.0,49.0,166.0,0.0,1067.0,17754.0,18.28445,0:19,0:41,1:36,3:45,78.0,91.5,105.2,-13.8
2024-08-01,0.0,30446.0,2.032,27120.0,20.0,32.0,49.0,161.0,0.0,784.0,5012.0,0.66667,0:19,0:41,1:36,3:45,81.0,89.3,91.2,-1.9
